Eph 3:1	Τούτου	D-GSN	D-GSN	3778	οὗτος	Τούτου	
Eph 3:1	χάριν	PREP	PREP	5484	χάριν	χάριν	
Eph 3:1	ἐγὼ	P-1NS	P-1NS	1473	ἐγώ	ἐγώ	
Eph 3:1	Παῦλος	N-NSM	N-NSM	3972	Παῦλος	Παῦλος	
Eph 3:1	ὁ	T-NSM	T-NSM	3588	ὁ	ὁ	
Eph 3:1	δέσμιος	N-NSM	N-NSM	1198	δέσμιος	δέσμιος	
Eph 3:1	τοῦ	T-GSM	T-GSM	3588	ὁ	τοῦ	
Eph 3:1	Χριστοῦ	N-GSM	N-GSM	5547	Χριστός	Χριστοῦ	
Eph 3:1	Ἰησοῦ	N-GSM	N-GSM	2424	Ἰησοῦς	Ἰησοῦ	
Eph 3:1	ὑπὲρ	PREP	PREP	5228	ὑπέρ	ὑπέρ	
Eph 3:1	ὑμῶν	P-2GP	P-2GP	4771	σύ	ὑμῶν	
Eph 3:1	τῶν	T-GPN	T-GPN	3588	ὁ	τῶν	
Eph 3:1	ἐθνῶν—	N-GPN	N-GPN	1484	ἔθνος	ἐθνῶν	
Eph 3:2	εἴ	COND	COND	1487	εἰ	εἴ	
Eph 3:2	γε	PRT	PRT	1065	γέ	γε	
Eph 3:2	ἠκούσατε	V-AAI-2P	V-AAI-2P	191&5656	ἀκούω	ἠκούσατε	
Eph 3:2	τὴν	T-ASF	T-ASF	3588	ὁ	τήν	
Eph 3:2	οἰκονομίαν	N-ASF	N-ASF	3622	οἰκονομία	οἰκονομίαν	
Eph 3:2	τῆς	T-GSF	T-GSF	3588	ὁ	τῆς	
Eph 3:2	χάριτος	N-GSF	N-GSF	5485	χάρις	χάριτος	
Eph 3:2	τοῦ	T-GSM	T-GSM	3588	ὁ	τοῦ	
Eph 3:2	Θεοῦ	N-GSM	N-GSM	2316	θεός	Θεοῦ	
Eph 3:2	τῆς	T-GSF	T-GSF	3588	ὁ	τῆς	
Eph 3:2	δοθείσης	V-APP-GSF	V-AEP-GSF	1325&5685	δίδωμι	δοθείσης	
Eph 3:2	μοι	P-1DS	P-1DS	1473	ἐγώ	μοι	
Eph 3:2	εἰς	PREP	PREP	1519	εἰς	εἰς	
Eph 3:2	ὑμᾶς,	P-2AP	P-2AP	4771	σύ	ὑμᾶς	
Eph 3:3	ὅτι	CONJ	CONJ	3754	ὅτι	ὅτι	
Eph 3:3	κατὰ	PREP	PREP	2596	κατά	κατά	
Eph 3:3	ἀποκάλυψιν	N-ASF	N-ASF	602	ἀποκάλυψις	ἀποκάλυψιν	
Eph 3:3	ἐγνωρίσθη	V-API-3S	V-API-3S	1107&5681	γνωρίζω	ἐγνωρίσθη	
Eph 3:3	μοι	P-1DS	P-1DS	1473	ἐγώ	μοι	
Eph 3:3	τὸ	T-NSN	T-NSN	3588	ὁ	τό	
Eph 3:3	μυστήριον,	N-NSN	N-NSN	3466	μυστήριον	μυστήριον	
Eph 3:3	καθὼς	ADV	ADV	2531	καθώς	καθώς	
Eph 3:3	προέγραψα	V-AAI-1S	V-AAI-1S	4270&5656	προγράφω	προέγραψα	
Eph 3:3	ἐν	PREP	PREP	1722	ἐν	ἐν	
